pid,query_number,id,cost_SC,cost_input,cost_SC_experiments,cost_input_experiments,cost_SC_difference,cost_input_difference,time_SC,time_input,time_SC_experiment,time_input_experiment,time _SC_difference,time_input_difference,SC_better_time_sc_data,SC_better_time_experiment_data,performance_difference
614,369,614-369,4565.17,12453.01,4569.41,12470.57,-4.24,-17.56,92.4765,215.3255,97.2742,221.561,-4.7977,-6.2355,1,1,significant
614,372,614-372,6680.22,18209.59,6658.12,18271.08,22.1,-61.49,112.958,581.9,110.4972,372.0576,2.4608,209.8424,1,1,significant
1077,121,1077-121,17314.39,26947.2,17314.39,26947.2,0,0,181.7455,245.725,157.6636,218.3874,24.0819,27.3376,1,1,significant
1077,181,1077-181,14406.34,23289.15,14406.34,23289.15,0,0,122.0805,178.268,107.7666,167.153,14.3139,11.115,1,1,significant
1149,1,1149-1,3283.5,10979.15,3283.5,10979.15,0,0,137.8245,114.235,147.074,126.0738,-9.2495,-11.8388,0,0,not significant
1149,5,1149-5,3283.5,11012.48,3283.5,11012.48,0,0,139.759,110.8665,148.6174,128.3994,-8.8584,-17.5329,0,0,not significant
1149,6,1149-6,2594.12,10979.15,2594.12,10979.15,0,0,115.361,114.2965,119.1802,126.0294,-3.8192,-11.7329,0,1,significant
1149,7,1149-7,2594.12,11012.48,2594.12,11012.48,0,0,107.89,112.8485,121.8004,126.872,-13.9104,-14.0235,1,1,not significant
1149,9,1149-9,2594.12,11012.48,2594.12,11012.48,0,0,109.2115,110.502,119.4998,125.5714,-10.2883,-15.0694,1,1,significant
1149,17,1149-17,2594.12,10979.15,2594.12,10979.15,0,0,112.021,110.4885,120.5908,134.8812,-8.5698,-24.3927,0,1,significant
1149,18,1149-18,2594.12,10979.15,2594.12,10979.15,0,0,105.648,112.94,119.4914,127.6996,-13.8434,-14.7596,1,1,significant
1149,23,1149-23,3283.5,10979.15,3283.5,10979.15,0,0,136.729,110.5045,148.4156,126.649,-11.6866,-16.1445,0,0,not significant
1149,24,1149-24,2594.12,10979.15,2594.12,10979.15,0,0,111.529,113.5525,121.6454,125.4008,-10.1164,-11.8483,1,1,not significant
1149,32,1149-32,2594.12,11012.48,2594.12,11012.48,0,0,112.918,116.14,121.9112,128.7104,-8.9932,-12.5704,1,1,significant
1149,33,1149-33,2594.12,11012.48,2594.12,11012.48,0,0,111.4305,113.1725,119.2174,128.8118,-7.7869,-15.6393,1,1,significant
1149,37,1149-37,2594.12,11012.48,2594.12,11012.48,0,0,113.863,117.123,119.2932,127.46,-5.4302,-10.337,1,1,significant
1149,52,1149-52,2594.12,10979.15,2594.12,10979.15,0,0,110.188,112.9075,117.6854,125.093,-7.4974,-12.1855,1,1,significant
1149,53,1149-53,2594.12,10979.15,2594.12,10979.15,0,0,113.4215,111.257,119.1818,126.8254,-5.7603,-15.5684,0,1,significant
1149,77,1149-77,2594.12,11012.48,2594.12,11012.48,0,0,107.046,113.8335,119.6544,126.374,-12.6084,-12.5405,1,1,significant
1149,81,1149-81,3283.5,11022.63,3283.5,11022.63,0,0,138.429,117.245,148.6836,125.4612,-10.2546,-8.2162,0,0,not significant
1149,87,1149-87,2594.12,11012.48,2594.12,11012.48,0,0,107.553,115.3155,120.3684,124.7888,-12.8154,-9.4733,1,1,not significant
1149,93,1149-93,2594.12,11080.95,2594.12,11080.95,0,0,106.238,137.0055,119.467,139.2612,-13.229,-2.2557,1,1,significant
1149,99,1149-99,2594.12,11012.48,2594.12,11012.48,0,0,107.7265,110.171,118.6348,126.0686,-10.9083,-15.8976,1,1,significant
1149,101,1149-101,2594.12,11012.48,2594.12,11012.48,0,0,109.417,115.57,119.143,125.3834,-9.726,-9.8134,1,1,significant
1149,105,1149-105,2594.12,11012.48,2594.12,11012.48,0,0,104.4045,116.0645,122.3866,133.9712,-17.9821,-17.9067,1,1,significant
1149,111,1149-111,2594.12,11012.98,2594.12,11012.98,0,0,110.181,114.9955,120.3606,126.6818,-10.1796,-11.6863,1,1,significant
1149,132,1149-132,2594.12,11248.6,2594.12,11248.6,0,0,114.671,119.5055,118.778,129.7332,-4.107,-10.2277,1,1,significant
1149,137,1149-137,2594.12,10979.15,2594.12,10979.15,0,0,108.595,119.038,122.0194,125.6056,-13.4244,-6.5676,1,1,not significant
1149,158,1149-158,3283.5,11012.48,3283.5,11012.48,0,0,140.0395,116.7585,147.8082,126.3562,-7.7687,-9.5977,0,0,not significant
1149,160,1149-160,2594.12,11012.48,2594.12,11012.48,0,0,110.355,116.431,120.2806,127.238,-9.9256,-10.807,1,1,significant
1149,161,1149-161,2594.12,11022.63,2594.12,11022.63,0,0,113.6095,115.8815,120.5344,127.5442,-6.9249,-11.6627,1,1,significant
1149,167,1149-167,2594.12,10979.15,2594.12,10979.15,0,0,112.804,115.3325,120.6266,127.1184,-7.8226,-11.7859,1,1,significant
182,1,182-1,10544.95,10727.81,10544.43,10727.11,0.52,0.7,62.773,86.017,65.7898,71.0056,-3.0168,15.0114,1,1,significant
182,2,182-2,10544.95,10727.81,10544.43,10727.11,0.52,0.7,57.573,87.466,59.4812,66.8686,-1.9082,20.5974,1,1,significant
182,20,182-20,10544.95,10727.81,10544.43,10727.11,0.52,0.7,57.0535,91.7465,62.1314,70.3794,-5.0779,21.3671,1,1,significant
182,24,182-24,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.4275,60.027,60.9128,59.3946,-3.4853,0.6324,1,0,not significant
182,29,182-29,10544.95,10691.24,10544.43,10690.58,0.52,0.66,58.5425,58.8385,61.309,59.6036,-2.7665,-0.7651,1,0,not significant
182,30,182-30,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.6015,59.017,60.6298,58.9354,-3.0283,0.0816,1,0,not significant
182,31,182-31,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.0475,60.0815,60.9896,59.1052,-3.9421,0.9763,1,0,not significant
182,32,182-32,10544.95,10691.24,10544.43,10690.58,0.52,0.66,60.1195,59.308,61.1714,61.3386,-1.0519,-2.0306,0,1,not significant
182,36,182-36,10544.95,10691.24,10544.43,10690.58,0.52,0.66,58.1725,59.3535,61.4128,58.7122,-3.2403,0.6413,1,0,not significant
182,37,182-37,10544.95,10691.24,10544.43,10690.58,0.52,0.66,56.7805,59.2215,59.6864,60.2162,-2.9059,-0.9947,1,1,not significant
182,48,182-48,10544.95,13291.4,10544.43,13290.87,0.52,0.53,57.344,154.998,63.7148,481.938,-6.3708,-326.94,1,1,significant
182,65,182-65,10544.95,11593.6,10544.43,11591.97,0.52,1.63,56.011,81.5375,62.792,173.2142,-6.781,-91.6767,1,1,significant
182,76,182-76,10544.95,10691.24,10544.43,10690.58,0.52,0.66,64.55,62.497,61.633,63.041,2.917,-0.544,0,1,not significant
182,77,182-77,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.2565,58.8545,61.1566,59.8602,-3.9001,-1.0057,1,0,not significant
182,87,182-87,10544.95,10691.24,10544.43,10690.58,0.52,0.66,56.235,59.9195,57.293,58.077,-1.058,1.8425,1,1,not significant
182,89,182-89,10544.95,10691.24,10544.43,10690.58,0.52,0.66,59.5335,58.664,62.938,68.9978,-3.4045,-10.3338,0,1,not significant
182,113,182-113,10544.95,10691.24,10544.43,10690.58,0.52,0.66,56.952,59.095,61.3318,60.6374,-4.3798,-1.5424,1,0,not significant
182,131,182-131,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.584,60.1965,60.7502,60.1914,-3.1662,0.0051,1,0,not significant
182,134,182-134,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.736,65.844,62.999,59.6604,-5.263,6.1836,1,0,not significant
182,136,182-136,10544.95,10691.24,10544.43,10690.58,0.52,0.66,58.964,59.9465,61.0354,60.2018,-2.0714,-0.2553,1,0,not significant
182,137,182-137,10544.95,10691.24,10544.43,10690.58,0.52,0.66,56.698,58.999,56.9034,56.994,-0.2054,2.005,1,1,not significant
182,140,182-140,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.286,59.4815,61.2484,59.413,-3.9624,0.0685,1,0,not significant
182,141,182-141,10544.95,10691.24,10544.43,10690.58,0.52,0.66,60.7525,61.093,60.632,62.5298,0.1205,-1.4368,1,1,not significant
182,142,182-142,10544.95,10691.24,10544.43,10690.58,0.52,0.66,56.632,59.6365,61.8928,68.3784,-5.2608,-8.7419,1,1,not significant
182,146,182-146,10544.95,10691.24,10544.43,10690.58,0.52,0.66,59.5485,59.3625,61.0512,61.3216,-1.5027,-1.9591,0,1,not significant
182,183,182-183,10544.95,10729.81,10544.43,10729.11,0.52,0.7,57.3195,91.7065,61.3112,69.2862,-3.9917,22.4203,1,1,significant
182,196,182-196,10544.95,10729.81,10544.43,10729.11,0.52,0.7,61.1645,89.111,59.1896,67.4896,1.9749,21.6214,1,1,significant
182,198,182-198,10544.95,10691.24,10544.43,10690.58,0.52,0.66,59.336,58.798,61.5092,58.8844,-2.1732,-0.0864,0,0,not significant
182,200,182-200,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.2305,58.6365,60.9014,58.812,-3.6709,-0.1755,1,0,not significant
182,206,182-206,10544.95,10691.24,10544.43,10690.58,0.52,0.66,55.9165,59.5845,61.5584,60.5504,-5.6419,-0.9659,1,0,not significant
182,207,182-207,10544.95,10691.24,10544.43,10690.58,0.52,0.66,56.7075,66.66,60.4986,59.808,-3.7911,6.852,1,0,not significant
182,209,182-209,10544.95,10691.24,10544.43,10690.58,0.52,0.66,60.465,60.0095,61.4344,60.7334,-0.9694,-0.7239,0,0,not significant
182,231,182-231,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.0495,59.1985,56.9846,57.2048,0.0649,1.9937,1,1,not significant
182,232,182-232,10544.95,10691.24,10544.43,10690.58,0.52,0.66,57.7715,59.5095,60.3916,58.8998,-2.6201,0.6097,1,0,not significant
1532,1,1532-1,22886.61,25474.11,22886.61,23806.41,0,1667.7,281.4985,359.8035,322.7168,529.8342,-41.2183,-170.0307,1,1,significant
1532,15,1532-15,22886.61,25474.11,22886.61,23806.41,0,1667.7,266.855,348.3855,313.235,531.751,-46.38,-183.3655,1,1,significant
585,231,585-231,27942.07,28784.66,27942.07,28784.66,0,0,193.8275,200.5675,252.1992,254.5718,-58.3717,-54.0043,1,1,not significant
1677,12,1677-12,3529.61,4219,3529.61,4219,0,0,67.796,75.3035,60.2982,93.5888,7.4978,-18.2853,1,1,significant
1677,191,1677-191,3529.61,4219,3529.61,4219,0,0,72.0515,74.9285,58.8472,91.3806,13.2043,-16.4521,1,1,significant
1677,192,1677-192,3529.61,4219,3529.61,4219,0,0,67.181,75.123,59.8058,92.7672,7.3752,-17.6442,1,1,significant
1677,196,1677-196,3529.61,4219,3529.61,4219,0,0,67.5865,75.799,61.3656,91.266,6.2209,-15.467,1,1,significant
1677,198,1677-198,3529.61,4219,3529.61,4219,0,0,67.498,76,60.1024,92.0774,7.3956,-16.0774,1,1,significant
1677,223,1677-223,3529.61,4219,3529.61,4219,0,0,67.37,75.922,62.1208,91.5102,5.2492,-15.5882,1,1,significant
1677,267,1677-267,3529.61,4219,3529.61,4219,0,0,67.4955,77.014,62.841,93.5338,4.6545,-16.5198,1,1,significant
1677,269,1677-269,4072.18,4219,4068.04,4219,4.14,0,77.131,75.307,71.0944,91.7324,6.0366,-16.4254,0,1,significant
1677,270,1677-270,4072.18,4219,4068.04,4219,4.14,0,73.047,74.691,71.4542,91.4324,1.5928,-16.7414,1,1,significant
1677,278,1677-278,3529.61,4219,3529.61,4219,0,0,67.236,75.277,61.6076,93.292,5.6284,-18.015,1,1,significant
1677,282,1677-282,3529.61,4219,3529.61,4219,0,0,67.321,75.62,60.1978,92.636,7.1232,-17.016,1,1,significant
1677,283,1677-283,4072.18,4219,4068.04,4219,4.14,0,75.176,74.6285,71.9858,90.4896,3.1902,-15.8611,0,1,significant
570,85,570-85,4488.99,13057.58,4489.24,13057.84,-0.25,-0.26,101.4435,102.359,50.648,98.8244,50.7955,3.5346,1,1,significant
570,88,570-88,16277.89,17141.39,16277.89,17141.39,0,0,153.439,247.7955,184.3986,192.2056,-30.9596,55.5899,1,1,not significant
570,115,570-115,4488.99,13043.81,4489.24,13044.06,-0.25,-0.25,103.269,98.8365,50.9462,97.415,52.3228,1.4215,0,1,significant
1069,5,1069-5,2147,12291.82,2147,12291.82,0,0,33.522,94.2525,24.798,92.0402,8.724,2.2123,1,1,significant
1069,8,1069-8,2147,2439.11,2147,2439.11,0,0,33.042,48.212,26.2758,39.682,6.7662,8.53,1,1,significant
1069,18,1069-18,2147,2439.11,2147,2439.11,0,0,33.122,48.603,25.226,38.727,7.896,9.876,1,1,significant
1069,23,1069-23,2147,2439.11,2147,2439.11,0,0,32.302,48.5505,24.3412,45.7044,7.9608,2.8461,1,1,significant
1069,24,1069-24,2147,2439.11,2147,2439.11,0,0,32.86,48.63,26.0566,42.5482,6.8034,6.0818,1,1,significant
1069,29,1069-29,2147,2439.11,2147,2439.11,0,0,33.69,48.208,25.2728,38.9322,8.4172,9.2758,1,1,significant
1069,30,1069-30,2147,2439.11,2147,2439.11,0,0,32.199,47.998,25.0514,40.5796,7.1476,7.4184,1,1,significant
1069,71,1069-71,2147,2439.11,2147,2439.11,0,0,32.624,48.817,25.8722,38.5536,6.7518,10.2634,1,1,significant
1069,73,1069-73,2147,2439.11,2147,2439.11,0,0,32.8955,48.6665,25.1458,40.6828,7.7497,7.9837,1,1,significant
1069,76,1069-76,2147,2439.11,2147,2439.11,0,0,33.195,47.999,27.5632,38.3766,5.6318,9.6224,1,1,significant
1069,83,1069-83,2147,2439.11,2147,2439.11,0,0,32.416,48.8235,26.3908,38.328,6.0252,10.4955,1,1,significant
1069,93,1069-93,2147,2439.11,2147,2439.11,0,0,32.7635,48.842,25.3708,39.7152,7.3927,9.1268,1,1,significant
1069,95,1069-95,2147,2439.11,2147,2439.11,0,0,32.6475,48.1395,25.4682,46.4498,7.1793,1.6897,1,1,significant
1069,96,1069-96,2147,2439.11,2147,2439.11,0,0,32.452,47.9065,26.0772,37.8412,6.3748,10.0653,1,1,significant
1069,107,1069-107,2147,2439.11,2147,2439.11,0,0,32.4775,48.0085,25.5584,42.2792,6.9191,5.7293,1,1,significant
1069,111,1069-111,2172.14,2204.33,2172.14,2204.33,0,0,33.4805,33.3955,26.226,24.6816,7.2545,8.7139,0,0,not significant
1069,112,1069-112,2147,12541.82,2147,12541.82,0,0,33.2065,104.1685,24.7804,102.8138,8.4261,1.3547,1,1,significant
1069,115,1069-115,2147,2454.11,2147,2454.11,0,0,32.9905,48.1685,26.3412,41.1472,6.6493,7.0213,1,1,significant
1069,121,1069-121,2147,2439.11,2147,2439.11,0,0,33.0665,48.228,27.505,39.5262,5.5615,8.7018,1,1,significant
1069,122,1069-122,2147,2439.11,2147,2439.11,0,0,32.633,48.1755,23.8992,38.5048,8.7338,9.6707,1,1,significant
1069,124,1069-124,2147,2439.11,2147,2439.11,0,0,32.3755,48.104,24.5774,38.9282,7.7981,9.1758,1,1,significant
1069,126,1069-126,2147,2439.11,2147,2439.11,0,0,32.2465,49.018,24.6368,41.0012,7.6097,8.0168,1,1,significant
1069,142,1069-142,2147,2439.11,2147,2439.11,0,0,32.9065,47.8975,24.1886,38.075,8.7179,9.8225,1,1,significant
1069,214,1069-214,2147,2439.11,2147,2439.11,0,0,32.6635,47.892,25.4354,39.0272,7.2281,8.8648,1,1,significant
1821,3,1821-3,2041,2067.61,2041,2066.93,0,0.68,19.404,22.866,10.1518,11.976,9.2522,10.89,1,1,not significant
1821,6,1821-6,2041,2067.61,2041,2066.93,0,0.68,19.3005,21.1495,11.3902,12.0976,7.9103,9.0519,1,1,not significant
1821,10,1821-10,2041,2067.61,2041,2066.93,0,0.68,19.499,20.524,11.8518,12.1388,7.6472,8.3852,1,1,not significant
1821,11,1821-11,2041,2067.61,2041,2066.93,0,0.68,19.714,22.5,13.3368,15.1662,6.3772,7.3338,1,1,not significant
1821,28,1821-28,2041,2067.61,2041,2066.93,0,0.68,19.2345,20.714,12.3284,11.0072,6.9061,9.7068,1,0,not significant
1821,89,1821-89,2041,2067.61,2041,2066.93,0,0.68,18.9885,22.1065,11.0332,13.0916,7.9553,9.0149,1,1,not significant
1821,98,1821-98,2041,2067.61,2041,2066.93,0,0.68,21.044,21.8035,11.5138,13.5414,9.5302,8.2621,1,1,not significant
1821,106,1821-106,1869.45,3748.33,1868.24,3746.13,1.21,2.2,21.9405,41.58,12.0366,27.635,9.9039,13.945,1,1,significant
1821,116,1821-116,2041,2062.44,2041,2061.89,0,0.55,19.351,19.4115,11.3096,12.7124,8.0414,6.6991,1,1,not significant
1821,117,1821-117,1880.81,2214.62,1879.42,2207.59,1.39,7.03,21.681,90.676,12.62,14.1504,9.061,76.5256,1,1,not significant
1821,118,1821-118,1869.45,2203.26,1868.24,2196.41,1.21,6.85,23.7,93.664,11.1672,16.6692,12.5328,76.9948,1,1,significant
1821,149,1821-149,2041,2067.61,2041,2066.93,0,0.68,19.883,21.855,11.5782,15.9702,8.3048,5.8848,1,1,significant
1821,207,1821-207,1869.45,2203.26,1868.24,2196.41,1.21,6.85,21.928,88.1125,13.004,13.983,8.924,74.1295,1,1,not significant
1821,208,1821-208,1869.45,1890.03,1868.24,1888.53,1.21,1.5,21.6625,24.665,12.588,14.4646,9.0745,10.2004,1,1,not significant
1821,209,1821-209,2041,2067.61,2041,2066.93,0,0.68,18.9745,23.6955,12.5116,12.0174,6.4629,11.6781,1,0,not significant
1821,228,1821-228,1880.81,1901.38,1879.42,1899.71,1.39,1.67,22.5825,24.239,13.7704,13.1912,8.8121,11.0478,1,0,not significant
1050,5,1050-5,2416,2449.33,2416,2449.33,0,0,60.485,59.973,41.424,42.0276,19.061,17.9454,0,1,not significant
1050,13,1050-13,2416,2449.33,2416,2449.33,0,0,63.4765,60.1995,42.7434,44.1882,20.7331,16.0113,0,1,not significant
1050,16,1050-16,2416,10970.82,2416,10970.82,0,0,62.831,139.502,42.6208,108.3856,20.2102,31.1164,1,1,significant
1050,25,1050-25,2416,10970.82,2416,10970.82,0,0,61.9795,131.146,43.7474,108.1428,18.2321,23.0032,1,1,significant
1050,27,1050-27,2416,2691,2416,2691,0,0,60.4085,65.552,43.9146,44.9676,16.4939,20.5844,1,1,not significant
1050,41,1050-41,2416,10970.82,2416,10970.82,0,0,59.855,127.763,42.7366,107.4268,17.1184,20.3362,1,1,significant
1050,54,1050-54,2416,2449.33,2416,2449.33,0,0,60.3,60.2665,43.4056,40.8324,16.8944,19.4341,0,0,not significant
1050,62,1050-62,2416,10970.82,2416,10970.82,0,0,61.2125,138.402,45.0446,142.6202,16.1679,-4.2182,1,1,significant
1050,67,1050-67,2416,2449.33,2416,2449.33,0,0,67.0605,59.603,42.2854,43.3688,24.7751,16.2342,0,1,not significant
1050,83,1050-83,2416,2449.33,2416,2449.33,0,0,60.754,61.586,41.0112,41.1562,19.7428,20.4298,1,1,not significant
1050,149,1050-149,2416,11020.82,2416,11020.82,0,0,61.0545,134.455,43.3634,111.0852,17.6911,23.3698,1,1,significant
1050,151,1050-151,2416,13762.49,2416,13762.49,0,0,60.2715,128.2565,43.8194,133.3126,16.4521,-5.0561,1,1,significant
1050,152,1050-152,2416,2465.99,2416,2465.99,0,0,64.604,59.2535,45.3944,51.4078,19.2096,7.8457,0,1,significant
1050,153,1050-153,2416,2465.99,2416,2465.99,0,0,60.6975,60.8095,42.4282,51.5108,18.2693,9.2987,1,1,significant
1050,154,1050-154,2449.33,4581.77,2449.33,4590.33,0,-8.56,60.185,79.346,43.6292,93.6834,16.5558,-14.3374,1,1,significant
